module	stock_path	compiled_path	stock_vermagic	compiled_vermagic	vermagic_equal	stock_depends	compiled_depends	depends_equal	stock_size	compiled_size	compiled_over_stock	stock_undef	compiled_undef	undef_delta
mt6375-adc.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6375-adc.ko	/home/rebelpilot89/manaus-kernel/out/drivers/iio/adc/mt6375-adc.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	industrialio-triggered-buffer		no	21944	301504	13.740	26	28	2
mt6375-auxadc.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6375-auxadc.ko	/home/rebelpilot89/manaus-kernel/out/drivers/iio/adc/mt6375-auxadc.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	42440	472064	11.123	64	67	3
mt6375-battery.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6375-battery.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mt6375-battery.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	pmic_lbat_service,moto_chg_tcmd,mtk_charger_framework	pmic_lbat_service,moto_chg_tcmd,mtk_charger_framework	yes	734448	5456384	7.429	133	137	4
mt6375-charger.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6375-charger.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mt6375-charger.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	charger_class	charger_class	yes	115160	861080	7.477	83	82	-1
mt6375.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6375.ko	/home/rebelpilot89/manaus-kernel/out/drivers/mfd/mt6375.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	28016	339448	12.116	38	39	1
mt6685-audclk.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6685-audclk.ko	/home/rebelpilot89/manaus-kernel/out/drivers/mfd/mt6685-audclk.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	14496	267832	18.476	8	9	1
mt6685-core.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6685-core.ko	/home/rebelpilot89/manaus-kernel/out/drivers/mfd/mt6685-core.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	regmap-spmi	regmap-spmi	yes	14064	271824	19.328	5	6	1
mt6879_dcm.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mt6879_dcm.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/dcm/mt6879_dcm.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk_dcm	mtk_dcm	yes	120784	625400	5.178	12	13	1
mtk_battery_oc_throttling.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_battery_oc_throttling.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/power_throttling/mtk_battery_oc_throttling.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	35760	341384	9.547	35	39	4
mtk_charger_algorithm_class.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_charger_algorithm_class.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mtk_charger_algorithm_class.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	30232	303128	10.027	19	21	2
mtk_charger_framework.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_charger_framework.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mtk_charger_framework.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	charger_class,mtk_charger_algorithm_class,tcpc_class,moto_chg_tcmd,adapter_class,monitor_hang	charger_class,mtk_charger_algorithm_class,moto_chg_tcmd,adapter_class	no	317616	4555944	14.344	155	154	-1
mtk_chg_type_det.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_chg_type_det.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mtk_chg_type_det.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	tcpc_class	tcpc_class	yes	31928	600536	18.809	41	41	0
mtk-cmdq-drv-ext.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-cmdq-drv-ext.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/cmdq/mailbox/mtk-cmdq-drv-ext.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	device-apc-common,mtk-smi-dbg,vcp_status,aee_aed,mmprofile,iommu_debug,irq-dbg	vcp_status,aee_aed,device-apc-common,mtk-smi-dbg,mmprofile,iommu_debug,irq-dbg	no	448064	2839048	6.336	138	140	2
mtk-cqdma.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-cqdma.ko	/home/rebelpilot89/manaus-kernel/out/drivers/dma/mediatek/mtk-cqdma.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	51416	488040	9.492	64	66	2
mtk_dcm.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_dcm.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/dcm/mtk_dcm.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	27920	278296	9.968	10	10	0
mtk_disp_notify.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_disp_notify.ko	/home/rebelpilot89/manaus-kernel/out/drivers/gpu/drm/mediatek/mediatek_v2/mtk_disp_notify.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	15272	150264	9.839	4	5	1
mtk_dramc.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_dramc.ko	/home/rebelpilot89/manaus-kernel/out/drivers/memory/mediatek/mtk_dramc.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	48680	394192	8.098	22	21	-1
mtk-dvfsrc-devfreq.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-dvfsrc-devfreq.ko	/home/rebelpilot89/manaus-kernel/out/drivers/devfreq/mtk-dvfsrc-devfreq.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-dvfsrc	mtk-dvfsrc	yes	16208	284784	17.571	17	18	1
mtk-dvfsrc-helper.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-dvfsrc-helper.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/dvfsrc/mtk-dvfsrc-helper.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-dvfsrc,aee_aed,mtk_dramc	mtk-dvfsrc,aee_aed,mtk_dramc	yes	220000	1326352	6.029	44	47	3
mtk-dvfsrc.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-dvfsrc.ko	/home/rebelpilot89/manaus-kernel/out/drivers/soc/mediatek/mtk-dvfsrc.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-scpsys	mtk-scpsys	yes	117040	498096	4.256	54	44	-10
mtk-dvfsrc-regulator.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-dvfsrc-regulator.ko	/home/rebelpilot89/manaus-kernel/out/drivers/regulator/mtk-dvfsrc-regulator.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-dvfsrc	mtk-dvfsrc	yes	33080	431680	13.050	17	33	16
mtk_dynamic_loading_throttling.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_dynamic_loading_throttling.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/power_throttling/mtk_dynamic_loading_throttling.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk_low_battery_throttling	mtk_low_battery_throttling	yes	35264	417632	11.843	42	45	3
mtk-emi.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-emi.ko	/home/rebelpilot89/manaus-kernel/out/drivers/interconnect/mediatek/mtk-emi.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-dvfsrc	mtk-dvfsrc	yes	37328	408504	10.944	21	39	18
mtk-icc-core.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-icc-core.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/mtk-interconnect/mtk-icc-core.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	60320	466832	7.739	52	59	7
mtk_iommu.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_iommu.ko	/home/rebelpilot89/manaus-kernel/out/drivers/iommu/mtk_iommu.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	iommu_secure,iommu_debug,mtk-smi-dbg	iommu_secure,iommu_debug,mtk-smi-dbg	yes	184936	821704	4.443	111	115	4
mtk-kpd.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-kpd.ko	/home/rebelpilot89/manaus-kernel/out/drivers/input/keyboard/mtk-kpd.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	25944	336992	12.989	37	39	2
mtk_low_battery_throttling.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_low_battery_throttling.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/power_throttling/mtk_low_battery_throttling.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	pmic_lbat_service	pmic_lbat_service	yes	22224	294904	13.270	14	15	1
mtk-mbox-mailbox.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-mbox-mailbox.ko	/home/rebelpilot89/manaus-kernel/out/drivers/mailbox/mtk-mbox-mailbox.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	20992	304456	14.503	25	26	1
mtk_mdpm.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_mdpm.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/mdpm/mtk_mdpm.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	106000	431768	4.073	29	31	2
mtk-mmc-autok.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-mmc-autok.ko	/home/rebelpilot89/manaus-kernel/out/drivers/mmc/host/mtk-mmc-autok.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	240280	1588360	6.610	16	20	4
mtk-mmc-dbg.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-mmc-dbg.ko	/home/rebelpilot89/manaus-kernel/out/drivers/mmc/host/mtk-mmc-dbg.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mrdump,blocktag,pinctrl-mtk-common-v2_debug	mrdump,blocktag	no	69856	572656	8.198	44	47	3
mtk-mmc.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-mmc.ko	/home/rebelpilot89/manaus-kernel/out/drivers/mmc/host/mtk-mmc.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	blocktag,cqhci,mtk-mmc-dbg,mtk-mmc-autok,mtk-dvfsrc,rpmb-mtk	blocktag,cqhci,mtk-mmc-dbg,mtk-mmc-autok,mtk-dvfsrc,rpmb-mtk	yes	206880	1036840	5.012	134	124	-10
mtk-mmdvfs-debug.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-mmdvfs-debug.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/mmdvfs/mtk-mmdvfs-debug.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	16152	347880	21.538	10	10	0
mtk-mmdvfs.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-mmdvfs.ko	/home/rebelpilot89/manaus-kernel/out/drivers/soc/mediatek/mtk-mmdvfs.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-smi-dbg,mmprofile	mtk-smi-dbg,mmprofile	yes	36952	407056	11.016	42	44	2
mtk_mm_heap.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_mm_heap.ko	/home/rebelpilot89/manaus-kernel/out/drivers/dma-buf/heaps/mtk_mm_heap.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	9272	142400	15.358	1	2	1
mtk-mminfra-debug.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-mminfra-debug.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/mminfra/mtk-mminfra-debug.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	tinysys-scmi,mtk-cmdq-drv-ext,mtk-smi-dbg,aee_aed,device-apc-common	tinysys-scmi,mtk-cmdq-drv-ext,mtk-smi-dbg,aee_aed,device-apc-common	yes	40520	390176	9.629	48	51	3
mtk-mml.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-mml.ko	/home/rebelpilot89/manaus-kernel/out/drivers/gpu/drm/mediatek/mml/mtk-mml.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mmprofile,mtk-cmdq-drv-ext,system_heap,mtk_sync,mtk_slbc,mtk-icc-core,mtk-smi	mmprofile,mtk-cmdq-drv-ext,system_heap,mtk_sync,mtk_slbc,mtk-icc-core,mtk-smi	yes	926776	18542584	20.008	212	220	8
mtk-mml-mt6879.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-mml-mt6879.ko	/home/rebelpilot89/manaus-kernel/out/drivers/gpu/drm/mediatek/mml/mtk-mml-mt6879.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-mml,mtk-cmdq-drv-ext	mtk-mml,mtk-cmdq-drv-ext	yes	19336	361504	18.696	11	13	2
mtk_panel_ext.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_panel_ext.ko	/home/rebelpilot89/manaus-kernel/out/drivers/gpu/drm/mediatek/mediatek_v2/mtk_panel_ext.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	20944	368648	17.602	6	7	1
mtk_pbm.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_pbm.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/pbm/mtk_pbm.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk_mdpm,mtk_dynamic_loading_throttling	mtk_mdpm,mtk_dynamic_loading_throttling	yes	57768	520272	9.006	62	64	2
mtk_pd_adapter.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_pd_adapter.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mtk_pd_adapter.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	tcpc_class,adapter_class	tcpc_class,adapter_class	yes	37400	434120	11.607	36	27	-9
mtk_pd_charging.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_pd_charging.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mtk_pd_charging.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	charger_class,adapter_class,mtk_charger_framework,mtk_charger_algorithm_class	charger_class,adapter_class,mtk_charger_framework,mtk_charger_algorithm_class	yes	74176	1455584	19.623	41	44	3
mtk_pep20.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_pep20.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mtk_pep20.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	charger_class,mtk_charger_framework,mtk_charger_algorithm_class	charger_class,mtk_charger_framework,mtk_charger_algorithm_class	yes	81848	1444896	17.653	45	48	3
mtk_pep40.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_pep40.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mtk_pep40.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	charger_class,adapter_class,mtk_charger_framework,mtk_charger_algorithm_class	charger_class,adapter_class,mtk_charger_framework,mtk_charger_algorithm_class	yes	102256	1598752	15.635	54	58	4
mtk_pep50.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_pep50.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mtk_pep50.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	charger_class,adapter_class,mtk_charger_framework,mtk_charger_algorithm_class	charger_class,adapter_class,mtk_charger_framework,mtk_charger_algorithm_class	yes	185208	1800992	9.724	81	83	2
mtk_pep.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_pep.ko	/home/rebelpilot89/manaus-kernel/out/drivers/power/supply/mtk_pep.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	charger_class,mtk_charger_framework,mtk_charger_algorithm_class	charger_class,mtk_charger_framework,mtk_charger_algorithm_class	yes	56696	1357896	23.950	32	35	3
mtk-pm-domain-disable-unused.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-pm-domain-disable-unused.ko	/home/rebelpilot89/manaus-kernel/out/drivers/soc/mediatek/mtk-pm-domain-disable-unused.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	11856	262184	22.114	3	4	1
mtk-pmic-keys.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-pmic-keys.ko	/home/rebelpilot89/manaus-kernel/out/drivers/input/keyboard/mtk-pmic-keys.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	23544	310520	13.189	25	29	4
mtk-pmic-wrap.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-pmic-wrap.ko	/home/rebelpilot89/manaus-kernel/out/drivers/soc/mediatek/mtk-pmic-wrap.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	115744	584992	5.054	33	34	1
mtk_printk_ctrl.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_printk_ctrl.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/mtprintk/mtk_printk_ctrl.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	27104	289888	10.695	26	25	-1
mtk-scpsys-bringup.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-scpsys-bringup.ko	/home/rebelpilot89/manaus-kernel/out/drivers/soc/mediatek/mtk-scpsys-bringup.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	14680	269640	18.368	12	12	0
mtk-scpsys.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-scpsys.ko	/home/rebelpilot89/manaus-kernel/out/drivers/soc/mediatek/mtk-scpsys.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	133832	634568	4.742	48	49	1
mtk-scpsys-mt6879.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-scpsys-mt6879.ko	/home/rebelpilot89/manaus-kernel/out/drivers/soc/mediatek/mtk-scpsys-mt6879.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-scpsys	mtk-scpsys	yes	27840	364216	13.082	7	8	1
mtk_slbc.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk_slbc.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/slbc/mtk_slbc.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	22216	166784	7.507	1	2	1
mtk-smi-dbg.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-smi-dbg.ko	/home/rebelpilot89/manaus-kernel/out/drivers/misc/mediatek/smi/mtk-smi-dbg.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	mtk-smi,emi	mtk-smi,emi	yes	54240	421640	7.774	40	44	4
mtk-smi.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-smi.ko	/home/rebelpilot89/manaus-kernel/out/drivers/memory/mtk-smi.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no	aee_aed	aee_aed	yes	220520	576720	2.615	54	56	2
mtk-socinfo.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-socinfo.ko	/home/rebelpilot89/manaus-kernel/out/drivers/soc/mediatek/mtk-socinfo.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	11888	262880	22.113	8	10	2
mtk-spmi-pmic-adc.ko	/home/rebelpilot89/manaus-kernel/Firmware-stock/analysis_modules/stock_extract/lib/modules/mtk-spmi-pmic-adc.ko	/home/rebelpilot89/manaus-kernel/out/drivers/iio/adc/mtk-spmi-pmic-adc.ko	5.10.233-android12-9-39248-gdd0980c7e7d6 SMP preempt mod_unload modversions aarch64	5.10.233 SMP preempt mod_unload modversions aarch64	no			yes	29944	419968	14.025	31	34	3
